name,free_returns,items_sold,item_price,item_shipping,item_status
NWT Women Cat Eye Reading Glasses Scarlette Fashion Style Frame,False,,1050,0,Brand New
Peepers Daisy Rectangle Floral Design Womens Reading Glasses +2.00,True,,1495,0,Brand New
INNER BIFOCAL SAFETY READING SUNGLASSES GLASSES SUN READER ANSI Z87.1+ (1 PAIR),True,,11751195,0,Brand New
Slim Mini Reading Glasses Pocket Retro Readers with Case 1.0 1.5 2.0 2.5 3.0 4.0,False,,580,0,Brand New
 New Rectangular Spring Hinge Power Reading Reader Glasses For Men Women Fashion,True,,999,0,Brand New
Bifocal Reading Glasses Classic Retro Men Women Plastic Half Rimmed Frame New,True,,8951495,0,Brand New
Men Women Classic Reading Glasses Round Spring Hinges Readers Eyeglass 1.0~3.5,False,,999,0,Brand New
Reading Glasses Mens Womens Readers 4 Pack Assorted Readers Multipack Glasses,True,,1095,0,Brand New
5 Packs Mens Rectangle Half Frame Reading Glasses Blue Light Blocking Readers ,True,,1499,0,Brand New
Pyramex Venture 2 BiFocal Reading Safety Glasses W/ RX Clear Lens Readers 1 PAIR,True,,799,0,Brand New
4 Pair Reading Glasses Readers Men Women Plastic Frame Spring Hinge 1.0 2.50 4.0,True,0,998,0,Brand New
Retro Square Frame Full Lens Reading Glasses HIGH POWER UP TO +6.00 Spring Hinge,True,,895995,0,Brand New
3 PK Mens Rectangular Blue Light Blocking Reading Glasses Spring Hinge Readers,True,,1239,0,Brand New
New Rectangular Spring Hinge Power Reading Reader Glasses For Men Women Fashion,True,,899,0,Brand New
1 or 3 Pair Thickly Frame Round Oval Reading Glasses Readers Black or Tortoise,True,,9491799,0,Brand New
4 Pairs Mens Metal Frame Rectangle Half Frame Reading Glasses Classic Readers ,True,,1199,0,Brand New
4 Pair Mens Half Frame Blue Light Blocking Reading Glasses Spring Hinge Readers,False,,10881129,0,New without tags
READING GLASSES LENS 3 PACK LOT CLASSIC READER UNISEX MEN WOMEN STYLE LOT(2),True,7,699,0,Brand New
Circle Round Reading Glasses Metal Frame Slim Rim with Spring Hinge Vintage Read,True,,8992199,0,Brand New
