name,free_returns,items_sold,item_price,item_shipping,item_status
"30"" Cow Leather Men's duffel travel gym weekend overnight bag Extra Large Black",True,,12211,0,New (Other)
Men's genuine Terrific Leather Large vintage duffle travel weekend overnight bag,True,0,8779,0,New (Other)
Dashing Men's Real Leather Travel Duffel Weekender Carr yon Vintage Luggage Bag,True,0,786111394,0,New (Other)
Vera Bradley Boysenberry Spinner Luggage 27” Large Suitcase VGUC See Description,False,,12499,4999,Pre-Owned
"WHITEDUCK Hoplite Heavy Duty Canvas Duffel Bag | Military, Army Cargo Style Bags",True,,29993599,0,Brand New
Extra Large Foldable Duffle Bag Travel Luggage Sports Gym Tote Men Women 96L NEW,True,,1998,0,Brand New
Vintage Cole Haan Large Off White Traveling Bag,False,,2000,1500,Pre-Owned
Blackhawk Large Black Duffel Bag w/ Shoulder Strap - Genuine Military Issued !!!,False,,2999,1500,Pre-Owned
LL Bean Adventure Large Duffel Bag Luggage w/Storage Bag BLUE-GREEN-AQUA Colors,True,,5995,859,Pre-Owned
WILSONS LEATHER VINTAGE Leather Large CARRY ON LUGGAGE LEATHER Shoulder Bag,False,,3689,2286,Pre-Owned
New ListingVINTAGE AMERICAN TOURISTER Blue 2 handle Zip Close Large Textile Travel Bag ,False,,1195,394,Pre-Owned
40 Rolling Duffle Bag Soft Sided Travel Luggage with Wheels Camouflage X-Large,True,,6365,0,Brand New
"NEW Kathy Van Zeeland Luggage Croco PVC 28"" Large Expandable Spinner Suitcase",False,0,1799919999,0,Brand New
Vera Bradley Buffalo Check Large Travel Duffel Bag Carry On Luggage NEW w TAGS,False,0,6800,850,Brand New
Extra Large Firefighter Turnout Gear Duffel Carrying Bag Reflective,True,,4088,0,New (Other)
"30"" Bag Leather Travel Men Luggage 13 Liter Duffle Weekend Duffel Shoulder ",True,,63859677,0,New (Other)
30 Inch Men Goat Leather Travel Gym Bag Luggage Duffel S New Brown New 11 Litter,True,,55518477,0,New (Other)
